national_number,gen,english_name,primary_type,secondary_type,description,image_link
376,III,Metagross,steel,psychic,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy.",static/Pokemon/metagross.png
377,III,Regirock,rock,,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost.",static/Pokemon/regirock.png
378,III,Regice,ice,,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it.",static/Pokemon/regice.png
379,III,Registeel,steel,,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.,static/Pokemon/registeel.png
380,III,Latias,dragon,psychic,"Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe.",static/Pokemon/latias.png
381,III,Latios,dragon,psychic,Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.,static/Pokemon/latios.png
382,III,Kyogre,water,,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can summon storms that cause the sea levels to rise.",static/Pokemon/kyogre.png
383,III,Groudon,ground,,"Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature.",static/Pokemon/groudon.png
384,III,Rayquaza,dragon,flying,Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.,static/Pokemon/rayquaza.png
385,III,Jirachi,steel,psychic,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening.",static/Pokemon/jirachi.png
386,III,Deoxys,psychic,,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon’s chest appears to be its brain.,static/Pokemon/deoxys.png
387,IV,Turtwig,grass,,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.,static/Pokemon/turtwig.png
388,IV,Grotle,grass,,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.",static/Pokemon/grotle.png
389,IV,Torterra,grass,ground,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled.",static/Pokemon/torterra.png
390,IV,Chimchar,fire,,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.,static/Pokemon/chimchar.png
391,IV,Monferno,fire,fighting,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.,static/Pokemon/monferno.png
392,IV,Infernape,fire,fighting,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.,static/Pokemon/infernape.png
393,IV,Piplup,water,,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.,static/Pokemon/piplup.png
394,IV,Prinplup,water,,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",static/Pokemon/prinplup.png
395,IV,Empoleon,water,steel,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.,static/Pokemon/empoleon.png
396,IV,Starly,normal,flying,"They flock in great numbers. Though small, they flap their wings with great power.",static/Pokemon/starly.png
397,IV,Staravia,normal,flying,"They maintain huge flocks, although fierce scuffles break out between various flocks.",static/Pokemon/staravia.png
398,IV,Staraptor,normal,flying,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.,static/Pokemon/staraptor.png
399,IV,Bidoof,normal,,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",static/Pokemon/bidoof.png
400,IV,Bibarel,normal,water,It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.,static/Pokemon/bibarel.png
401,IV,Kricketot,bug,,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.,static/Pokemon/kricketot.png
402,IV,Kricketune,bug,,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,static/Pokemon/kricketune.png
403,IV,Shinx,electric,,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.,static/Pokemon/shinx.png
404,IV,Luxio,electric,,"By joining its tail with that of another Luxio, this Pokémon can receive some of the other Luxio’s electricity and power up its own electric blasts.",static/Pokemon/luxio.png
405,IV,Luxray,electric,,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick.",static/Pokemon/luxray.png
406,IV,Budew,grass,poison,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased.",static/Pokemon/budew.png
407,IV,Roserade,grass,poison,"After captivating opponents with its sweet scent, it lashes them with its thorny whips.",static/Pokemon/roserade.png
408,IV,Cranidos,rock,,"A primeval Pokémon, it possesses a hard and sturdy skull, lacking any intelligence within.",static/Pokemon/cranidos.png
409,IV,Rampardos,rock,,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets.",static/Pokemon/rampardos.png
410,IV,Shieldon,rock,steel,"A mild-mannered, herbivorous Pokémon, it used its face to dig up tree roots to eat. The skin on its face was plenty tough.",static/Pokemon/shieldon.png
411,IV,Bastiodon,rock,steel,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored.",static/Pokemon/bastiodon.png
412,IV,Burmy,bug,,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",static/Pokemon/burmy.png
413,IV,Wormadam,bug,grass,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.,static/Pokemon/wormadam.png
414,IV,Mothim,bug,flying,It loves the honey of flowers and steals honey collected by Combee.,static/Pokemon/mothim.png
415,IV,Combee,bug,flying,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.,static/Pokemon/combee.png
416,IV,Vespiquen,bug,flying,It skillfully commands its grubs in battles with its enemies. The grubs are willing to risk their lives to defend Vespiquen.,static/Pokemon/vespiquen.png
417,IV,Pachirisu,electric,,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,static/Pokemon/pachirisu.png
418,IV,Buizel,water,,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses.",static/Pokemon/buizel.png
419,IV,Floatzel,water,,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,static/Pokemon/floatzel.png
420,IV,Cherubi,grass,,"It nimbly dashes about to avoid getting pecked by bird Pokémon that would love to make off with its small, nutrient-rich storage ball.",static/Pokemon/cherubi.png
421,IV,Cherrim,grass,,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear.",static/Pokemon/cherrim.png
422,IV,Shellos,water,,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop.",static/Pokemon/shellos.png
423,IV,Gastrodon,water,ground,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through.",static/Pokemon/gastrodon.png
424,IV,Ambipom,normal,,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time.",static/Pokemon/ambipom.png
425,IV,Drifloon,ghost,flying,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it.",static/Pokemon/drifloon.png
426,IV,Drifblim,ghost,flying,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk.",static/Pokemon/drifblim.png
427,IV,Buneary,normal,,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care.",static/Pokemon/buneary.png
428,IV,Lopunny,normal,,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks.",static/Pokemon/lopunny.png
429,IV,Mismagius,ghost,,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people.",static/Pokemon/mismagius.png
430,IV,Honchkrow,dark,flying,It will absolutely not forgive failure from or betrayal by its goons. It has no choice in this if it wants to maintain the order of the flock.,static/Pokemon/honchkrow.png
431,IV,Glameow,normal,,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,static/Pokemon/glameow.png
432,IV,Purugly,normal,,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.,static/Pokemon/purugly.png
433,IV,Chingling,psychic,,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries.",static/Pokemon/chingling.png
434,IV,Stunky,poison,dark,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away.",static/Pokemon/stunky.png
435,IV,Skuntank,poison,dark,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid.",static/Pokemon/skuntank.png
436,IV,Bronzor,steel,psychic,"It appears in ancient ruins. The pattern on its body doesn’t come from any culture in the Galar region, so it remains shrouded in mystery.",static/Pokemon/bronzor.png
437,IV,Bronzong,steel,psychic,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell.",static/Pokemon/bronzong.png
438,IV,Bonsly,rock,,"It expels both sweat and tears from its eyes. The sweat is a little salty, while the tears have a slight bitterness.",static/Pokemon/bonsly.png
439,IV,Mime Jr,psychic,fairy,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice.",static/Pokemon/mime jr.png
440,IV,Happiny,normal,,"Mimicking Chansey, Happiny will place an egg- shaped stone in its belly pouch. Happiny will treasure this stone.",static/Pokemon/happiny.png
441,IV,Chatot,normal,flying,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.,static/Pokemon/chatot.png
442,IV,Spiritomb,ghost,dark,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.,static/Pokemon/spiritomb.png
443,IV,Gible,dragon,ground,"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard.",static/Pokemon/gible.png
444,IV,Gabite,dragon,ground,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.,static/Pokemon/gabite.png
445,IV,Garchomp,dragon,ground,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can.",static/Pokemon/garchomp.png
446,IV,Munchlax,normal,,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care.",static/Pokemon/munchlax.png
447,IV,Riolu,fighting,,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience.",static/Pokemon/riolu.png
448,IV,Lucario,fighting,steel,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey.",static/Pokemon/lucario.png
449,IV,Hippopotas,ground,,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose.",static/Pokemon/hippopotas.png
450,IV,Hippowdon,ground,,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon.",static/Pokemon/hippowdon.png
451,IV,Skorupi,poison,bug,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent.",static/Pokemon/skorupi.png
452,IV,Drapion,poison,dark,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength.",static/Pokemon/drapion.png
453,IV,Croagunk,poison,fighting,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab.",static/Pokemon/croagunk.png
454,IV,Toxicroak,poison,fighting,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.,static/Pokemon/toxicroak.png
455,IV,Carnivine,grass,,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",static/Pokemon/carnivine.png
456,IV,Finneon,water,,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close.",static/Pokemon/finneon.png
457,IV,Lumineon,water,,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food.",static/Pokemon/lumineon.png
458,IV,Mantyke,water,flying,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.,static/Pokemon/mantyke.png
459,IV,Snover,grass,ice,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.,static/Pokemon/snover.png
460,IV,Abomasnow,grass,ice,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers.",static/Pokemon/abomasnow.png
461,IV,Weavile,dark,ice,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.,static/Pokemon/weavile.png
462,IV,Magnezone,electric,steel,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.,static/Pokemon/magnezone.png
463,IV,Lickilicky,normal,,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.,static/Pokemon/lickilicky.png
464,IV,Rhyperior,ground,rock,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.,static/Pokemon/rhyperior.png
465,IV,Tangrowth,grass,,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines.",static/Pokemon/tangrowth.png
466,IV,Electivire,electric,,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,static/Pokemon/electivire.png
467,IV,Magmortar,fire,,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",static/Pokemon/magmortar.png
468,IV,Togekiss,fairy,flying,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.",static/Pokemon/togekiss.png
469,IV,Yanmega,bug,flying,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.,static/Pokemon/yanmega.png
470,IV,Leafeon,grass,,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.,static/Pokemon/leafeon.png
471,IV,Glaceon,ice,,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.,static/Pokemon/glaceon.png
472,IV,Gliscor,ground,flying,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",static/Pokemon/gliscor.png
473,IV,Mamoswine,ice,ground,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct.",static/Pokemon/mamoswine.png
474,IV,Porygon-Z,normal,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior.",static/Pokemon/porygon-z.png
475,IV,Gallade,psychic,fighting,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone.",static/Pokemon/gallade.png
476,IV,Probopass,rock,steel,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back.",static/Pokemon/probopass.png
477,IV,Dusknoir,ghost,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",static/Pokemon/dusknoir.png
478,IV,Froslass,ice,ghost,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls.",static/Pokemon/froslass.png
479,IV,Rotom,electric,ghost,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.,static/Pokemon/rotom.png
480,IV,Uxie,psychic,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,static/Pokemon/uxie.png
481,IV,Mesprit,psychic,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",static/Pokemon/mesprit.png
482,IV,Azelf,psychic,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,static/Pokemon/azelf.png
483,IV,Dialga,steel,dragon,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,static/Pokemon/dialga.png
484,IV,Palkia,water,dragon,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,static/Pokemon/palkia.png
485,IV,Heatran,fire,steel,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,static/Pokemon/heatran.png
486,IV,Regigigas,normal,,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.",static/Pokemon/regigigas.png
487,IV,Giratina,ghost,dragon,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",static/Pokemon/giratina.png
488,IV,Cresselia,psychic,,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,static/Pokemon/cresselia.png
489,IV,Phione,water,,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.",static/Pokemon/phione.png
490,IV,Manaphy,water,,It is born with a wondrous power that lets it bond with any kind of Pokémon.,static/Pokemon/manaphy.png
491,IV,Darkrai,dark,,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers.",static/Pokemon/darkrai.png
492,IV,Shaymin,grass,grass,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,static/Pokemon/shaymin.png
493,IV,Arceus,normal,,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",static/Pokemon/arceus.png
494,V,Victini,psychic,fire,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",static/Pokemon/victini.png
495,V,Snivy,grass,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,static/Pokemon/snivy.png
496,V,Servine,grass,,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",static/Pokemon/servine.png
497,V,Serperior,grass,,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,static/Pokemon/serperior.png
498,V,Tepig,fire,,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,static/Pokemon/tepig.png
499,V,Pignite,fire,fighting,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power.",static/Pokemon/pignite.png
500,V,Emboar,fire,fighting,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,static/Pokemon/emboar.png
501,V,Oshawott,water,,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.,static/Pokemon/oshawott.png
502,V,Dewott,water,,Strict training is how it learns its flowing double-scalchop technique.,static/Pokemon/dewott.png
503,V,Samurott,water,,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.",static/Pokemon/samurott.png
504,V,Patrat,normal,,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",static/Pokemon/patrat.png
505,V,Watchog,normal,,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.",static/Pokemon/watchog.png
506,V,Lillipup,normal,,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.,static/Pokemon/lillipup.png
507,V,Herdier,normal,,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.,static/Pokemon/herdier.png
508,V,Stoutland,normal,,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.,static/Pokemon/stoutland.png
509,V,Purrloin,dark,,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,static/Pokemon/purrloin.png
510,V,Liepard,dark,,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,static/Pokemon/liepard.png
511,V,Pansage,grass,,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,static/Pokemon/pansage.png
512,V,Simisage,grass,,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.,static/Pokemon/simisage.png
513,V,Pansear,fire,,"Very intelligent, it roasts berries before eating them. It likes to help people.",static/Pokemon/pansear.png
514,V,Simisear,fire,,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.,static/Pokemon/simisear.png
515,V,Panpour,water,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.,static/Pokemon/panpour.png
516,V,Simipour,water,,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall.",static/Pokemon/simipour.png
517,V,Munna,psychic,,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow.",static/Pokemon/munna.png
518,V,Musharna,psychic,,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality.",static/Pokemon/musharna.png
519,V,Pidove,normal,flying,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once.",static/Pokemon/pidove.png
520,V,Tranquill,normal,flying,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest.",static/Pokemon/tranquill.png
521,V,Unfezant,normal,flying,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed.",static/Pokemon/unfezant.png
522,V,Blitzle,electric,,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",static/Pokemon/blitzle.png
523,V,Zebstrika,electric,,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.",static/Pokemon/zebstrika.png
524,V,Roggenrola,rock,,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit.",static/Pokemon/roggenrola.png
525,V,Boldore,rock,,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy.",static/Pokemon/boldore.png
526,V,Gigalith,rock,,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah.",static/Pokemon/gigalith.png
527,V,Woobat,psychic,flying,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there.",static/Pokemon/woobat.png
528,V,Swoobat,psychic,flying,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while.",static/Pokemon/swoobat.png
529,V,Drilbur,ground,,It brings its claws together and whirls around at high speed before rushing toward its prey.,static/Pokemon/drilbur.png
530,V,Excadrill,ground,steel,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.,static/Pokemon/excadrill.png
531,V,Audino,normal,,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.,static/Pokemon/audino.png
532,V,Timburr,fighting,,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum.",static/Pokemon/timburr.png
533,V,Gurdurr,fighting,,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while.",static/Pokemon/gurdurr.png
534,V,Conkeldurr,fighting,,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same.",static/Pokemon/conkeldurr.png
535,V,Tympole,water,,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.,static/Pokemon/tympole.png
536,V,Palpitoad,water,ground,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue.",static/Pokemon/palpitoad.png
537,V,Seismitoad,water,ground,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.,static/Pokemon/seismitoad.png
538,V,Throh,fighting,,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat.",static/Pokemon/throh.png
539,V,Sawk,fighting,,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by.",static/Pokemon/sawk.png
540,V,Sewaddle,bug,grass,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,static/Pokemon/sewaddle.png
541,V,Swadloon,bug,grass,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,static/Pokemon/swadloon.png
542,V,Leavanny,bug,grass,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.",static/Pokemon/leavanny.png
543,V,Venipede,bug,poison,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues.",static/Pokemon/venipede.png
544,V,Whirlipede,bug,poison,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.,static/Pokemon/whirlipede.png
545,V,Scolipede,bug,poison,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.,static/Pokemon/scolipede.png
546,V,Cottonee,grass,fairy,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",static/Pokemon/cottonee.png
547,V,Whimsicott,grass,fairy,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief.",static/Pokemon/whimsicott.png
548,V,Petilil,grass,,Petilil appears around sources of clean water. Boiling leaves from this Pokémon’s head results in a liquid that’s sometimes used as a bug repellent.,static/Pokemon/petilil.png
549,V,Lilligant,grass,,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.,static/Pokemon/lilligant.png
550,V,Basculin,water,,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.,static/Pokemon/basculin.png
551,V,Sandile,ground,dark,"The desert gets cold at night, so when the sun sets, this Pokémon burrows deep into the sand and sleeps until sunrise.",static/Pokemon/sandile.png
552,V,Krokorok,ground,dark,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.,static/Pokemon/krokorok.png
553,V,Krookodile,ground,dark,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.,static/Pokemon/krookodile.png
554,V,Darumaka,fire,ice,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep.",static/Pokemon/darumaka.png
555,V,Darmanitan,fire,fire,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.,static/Pokemon/darmanitan.png
556,V,Maractus,grass,,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry.",static/Pokemon/maractus.png
557,V,Dwebble,bug,rock,"When it finds a stone appealing, it creates a hole inside it and uses it as its home. This Pokémon is the natural enemy of Roggenrola and Rolycoly.",static/Pokemon/dwebble.png
558,V,Crustle,bug,rock,This highly territorial Pokémon prefers dry climates. It won’t come out of its boulder on rainy days.,static/Pokemon/crustle.png
559,V,Scraggy,dark,fighting,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon.",static/Pokemon/scraggy.png
560,V,Scrafty,dark,fighting,"As halfhearted as this Pokémon’s kicks may seem, they pack enough power to shatter Conkeldurr’s concrete pillars.",static/Pokemon/scrafty.png
561,V,Sigilyph,psychic,flying,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,static/Pokemon/sigilyph.png
562,V,Yamask,ghost,ground,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human.",static/Pokemon/yamask.png
563,V,Cofagrigus,ghost,,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.,static/Pokemon/cofagrigus.png
564,V,Tirtouga,water,rock,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey.",static/Pokemon/tirtouga.png
565,V,Carracosta,water,rock,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy.",static/Pokemon/carracosta.png
566,V,Archen,rock,flying,"This Pokémon was successfully restored from a fossil. As research suggested, Archen is unable to fly. But it’s very good at jumping.",static/Pokemon/archen.png
567,V,Archeops,rock,flying,"It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles.",static/Pokemon/archeops.png
568,V,Trubbish,poison,,"Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room.",static/Pokemon/trubbish.png
569,V,Garbodor,poison,,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten.",static/Pokemon/garbodor.png
570,V,Zorua,dark,,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.,static/Pokemon/zorua.png
571,V,Zoroark,dark,,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe.",static/Pokemon/zoroark.png
